,name,lon,lat,point
0,0,60.997854999999994,23.929705600000023,POINT (60.997854999999994 23.929705600000023)
1,1,60.997854999999994,24.179705600000023,POINT (60.997854999999994 24.179705600000023)
2,2,60.997854999999994,24.429705600000023,POINT (60.997854999999994 24.429705600000023)
3,3,60.997854999999994,24.679705600000023,POINT (60.997854999999994 24.679705600000023)
4,4,60.997854999999994,24.929705600000023,POINT (60.997854999999994 24.929705600000023)
5,5,60.997854999999994,25.179705600000023,POINT (60.997854999999994 25.179705600000023)
6,6,60.997854999999994,25.429705600000023,POINT (60.997854999999994 25.429705600000023)
7,7,60.997854999999994,25.679705600000023,POINT (60.997854999999994 25.679705600000023)
8,8,60.997854999999994,25.929705600000023,POINT (60.997854999999994 25.929705600000023)
9,9,60.997854999999994,26.179705600000023,POINT (60.997854999999994 26.179705600000023)
10,10,60.997854999999994,26.429705600000023,POINT (60.997854999999994 26.429705600000023)
11,11,60.997854999999994,26.679705600000023,POINT (60.997854999999994 26.679705600000023)
12,12,60.997854999999994,26.929705600000023,POINT (60.997854999999994 26.929705600000023)
13,13,60.997854999999994,27.179705600000023,POINT (60.997854999999994 27.179705600000023)
14,14,60.997854999999994,27.429705600000023,POINT (60.997854999999994 27.429705600000023)
15,15,60.997854999999994,27.679705600000023,POINT (60.997854999999994 27.679705600000023)
16,16,60.997854999999994,27.929705600000023,POINT (60.997854999999994 27.929705600000023)
17,17,60.997854999999994,28.179705600000023,POINT (60.997854999999994 28.179705600000023)
18,18,60.997854999999994,28.429705600000023,POINT (60.997854999999994 28.429705600000023)
19,19,60.997854999999994,28.679705600000023,POINT (60.997854999999994 28.679705600000023)
20,20,60.997854999999994,28.929705600000023,POINT (60.997854999999994 28.929705600000023)
21,21,60.997854999999994,29.179705600000023,POINT (60.997854999999994 29.179705600000023)
22,22,60.997854999999994,29.429705600000023,POINT (60.997854999999994 29.429705600000023)
23,23,60.997854999999994,29.679705600000023,POINT (60.997854999999994 29.679705600000023)
24,24,60.997854999999994,29.929705600000023,POINT (60.997854999999994 29.929705600000023)
25,25,60.997854999999994,30.179705600000023,POINT (60.997854999999994 30.179705600000023)
26,26,60.997854999999994,30.429705600000023,POINT (60.997854999999994 30.429705600000023)
27,27,60.997854999999994,30.679705600000023,POINT (60.997854999999994 30.679705600000023)
28,28,60.997854999999994,30.929705600000023,POINT (60.997854999999994 30.929705600000023)
29,29,60.997854999999994,31.179705600000023,POINT (60.997854999999994 31.179705600000023)
30,30,60.997854999999994,31.429705600000023,POINT (60.997854999999994 31.429705600000023)
31,31,60.997854999999994,31.679705600000023,POINT (60.997854999999994 31.679705600000023)
32,32,60.997854999999994,31.92970560000002,POINT (60.997854999999994 31.92970560000002)
33,33,60.997854999999994,32.17970560000002,POINT (60.997854999999994 32.17970560000002)
34,34,60.997854999999994,32.42970560000002,POINT (60.997854999999994 32.42970560000002)
35,35,60.997854999999994,32.67970560000002,POINT (60.997854999999994 32.67970560000002)
36,36,60.997854999999994,32.92970560000002,POINT (60.997854999999994 32.92970560000002)
37,37,60.997854999999994,33.17970560000002,POINT (60.997854999999994 33.17970560000002)
38,38,60.997854999999994,33.42970560000002,POINT (60.997854999999994 33.42970560000002)
39,39,60.997854999999994,33.67970560000002,POINT (60.997854999999994 33.67970560000002)
40,40,60.997854999999994,33.92970560000002,POINT (60.997854999999994 33.92970560000002)
41,41,60.997854999999994,34.17970560000002,POINT (60.997854999999994 34.17970560000002)
42,42,60.997854999999994,34.42970560000002,POINT (60.997854999999994 34.42970560000002)
43,43,60.997854999999994,34.67970560000002,POINT (60.997854999999994 34.67970560000002)
44,44,60.997854999999994,34.92970560000002,POINT (60.997854999999994 34.92970560000002)
45,45,60.997854999999994,35.17970560000002,POINT (60.997854999999994 35.17970560000002)
46,46,60.997854999999994,35.42970560000002,POINT (60.997854999999994 35.42970560000002)
47,47,60.997854999999994,35.67970560000002,POINT (60.997854999999994 35.67970560000002)
48,48,60.997854999999994,35.92970560000002,POINT (60.997854999999994 35.92970560000002)
49,49,60.997854999999994,36.17970560000002,POINT (60.997854999999994 36.17970560000002)
50,50,60.997854999999994,36.42970560000002,POINT (60.997854999999994 36.42970560000002)
51,51,60.997854999999994,36.67970560000002,POINT (60.997854999999994 36.67970560000002)
52,52,60.997854999999994,36.92970560000002,POINT (60.997854999999994 36.92970560000002)
53,53,60.997854999999994,37.17970560000002,POINT (60.997854999999994 37.17970560000002)
54,54,61.247854999999994,23.929705600000023,POINT (61.247854999999994 23.929705600000023)
55,55,61.247854999999994,24.179705600000023,POINT (61.247854999999994 24.179705600000023)
56,56,61.247854999999994,24.429705600000023,POINT (61.247854999999994 24.429705600000023)
57,57,61.247854999999994,24.679705600000023,POINT (61.247854999999994 24.679705600000023)
58,58,61.247854999999994,24.929705600000023,POINT (61.247854999999994 24.929705600000023)
59,59,61.247854999999994,25.179705600000023,POINT (61.247854999999994 25.179705600000023)
60,60,61.247854999999994,25.429705600000023,POINT (61.247854999999994 25.429705600000023)
61,61,61.247854999999994,25.679705600000023,POINT (61.247854999999994 25.679705600000023)
62,62,61.247854999999994,25.929705600000023,POINT (61.247854999999994 25.929705600000023)
63,63,61.247854999999994,26.179705600000023,POINT (61.247854999999994 26.179705600000023)
64,64,61.247854999999994,26.429705600000023,POINT (61.247854999999994 26.429705600000023)
65,65,61.247854999999994,26.679705600000023,POINT (61.247854999999994 26.679705600000023)
66,66,61.247854999999994,26.929705600000023,POINT (61.247854999999994 26.929705600000023)
67,67,61.247854999999994,27.179705600000023,POINT (61.247854999999994 27.179705600000023)
