,date,teh,Point0_average,Point0_median,Point0_std,Point0_lat,Point0_lon,Point1_average,Point1_median,Point1_std,Point1_lat,Point1_lon,Point2_average,Point2_median,Point2_std,Point2_lat,Point2_lon,Point3_average,Point3_median,Point3_std,Point3_lat,Point3_lon,Point4_average,Point4_median,Point4_std,Point4_lat,Point4_lon,Point5_average,Point5_median,Point5_std,Point5_lat,Point5_lon,Point6_average,Point6_median,Point6_std,Point6_lat,Point6_lon,Point7_average,Point7_median,Point7_std,Point7_lat,Point7_lon,Point8_average,Point8_median,Point8_std,Point8_lat,Point8_lon,Point9_average,Point9_median,Point9_std,Point9_lat,Point9_lon,Point10_average,Point10_median,Point10_std,Point10_lat,Point10_lon,Point11_average,Point11_median,Point11_std,Point11_lat,Point11_lon,Point12_average,Point12_median,Point12_std,Point12_lat,Point12_lon,Point13_average,Point13_median,Point13_std,Point13_lat,Point13_lon,Point14_average,Point14_median,Point14_std,Point14_lat,Point14_lon,Point15_average,Point15_median,Point15_std,Point15_lat,Point15_lon,Point16_average,Point16_median,Point16_std,Point16_lat,Point16_lon,Point17_average,Point17_median,Point17_std,Point17_lat,Point17_lon,Point18_average,Point18_median,Point18_std,Point18_lat,Point18_lon,Point19_average,Point19_median,Point19_std,Point19_lat,Point19_lon,Point20_average,Point20_median,Point20_std,Point20_lat,Point20_lon,Point21_average,Point21_median,Point21_std,Point21_lat,Point21_lon,Point22_average,Point22_median,Point22_std,Point22_lat,Point22_lon,Point23_average,Point23_median,Point23_std,Point23_lat,Point23_lon,Point24_average,Point24_median,Point24_std,Point24_lat,Point24_lon,Point25_average,Point25_median,Point25_std,Point25_lat,Point25_lon,Point26_average,Point26_median,Point26_std,Point26_lat,Point26_lon
0,201601,bahawalnagar,286.51654,285.75,4.397777,29.929705600000023,72.997855,286.43423,285.6875,4.4971538,29.679705600000023,73.247855,286.54276,285.8125,4.4627934,29.929705600000023,73.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201601,chishtian,286.69684,286.25,4.5569787,29.429705600000023,72.747855,286.6183,286.125,4.4614606,29.679705600000023,72.747855,286.5637,286.0,4.464639,29.679705600000023,72.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201601,fort abbas,287.17374,286.75,4.6845098,28.929705600000023,72.497855,286.971,286.6875,4.6136928,29.179705600000023,72.497855,286.90817,286.5,4.6317163,29.179705600000023,72.747855,286.87448,286.25,4.685825,29.179705600000023,72.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201601,haroonabad,286.87448,286.25,4.685825,29.179705600000023,72.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201601,minchinabad,286.40112,285.625,4.3665657,30.179705600000023,73.497855,286.4343,285.5625,4.380845,30.179705600000023,73.747855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201601,ahmadpur east,288.08426,287.4375,4.6479564,29.179705600000023,70.997855,287.52832,286.6875,4.68368,29.179705600000023,71.247855,287.623,286.75,4.657695,29.429705600000023,71.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201601,bahawalpur,287.623,286.75,4.657695,29.429705600000023,71.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201601,hasilpur,286.7868,286.4375,4.502221,29.429705600000023,72.497855,286.71448,286.3125,4.4149947,29.679705600000023,72.497855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201601,khairpur tamewali,287.01956,286.53125,4.5782166,29.429705600000023,71.997855,286.93103,286.40625,4.4740615,29.679705600000023,72.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201601,yazman,288.529,288.21875,5.0227165,28.179705600000023,70.997855,288.12323,287.8125,4.9427896,28.429705600000023,70.997855,287.6681,287.25,4.8419294,28.679705600000023,70.997855,288.531,288.0625,5.107387,27.929705600000023,71.247855,288.28873,287.875,4.973798,28.179705600000023,71.247855,288.08502,287.625,4.899846,28.429705600000023,71.247855,287.66113,287.1875,4.785581,28.679705600000023,71.247855,287.4549,287.0,4.6945395,28.929705600000023,71.247855,288.5624,287.9375,5.0199895,27.929705600000023,71.497855,288.1386,287.53125,4.988981,28.179705600000023,71.497855,287.84998,287.25,4.9064837,28.429705600000023,71.497855,287.57626,287.0625,4.788365,28.679705600000023,71.497855,287.54175,287.03125,4.723908,28.929705600000023,71.497855,288.51318,287.875,5.0803914,27.929705600000023,71.747855,288.10443,287.53125,4.999535,28.179705600000023,71.747855,287.7337,287.25,4.893362,28.429705600000023,71.747855,287.4622,287.0,4.7857447,28.679705600000023,71.747855,287.35956,286.78125,4.7045803,28.929705600000023,71.747855,287.24664,286.71875,4.6728444,29.179705600000023,71.747855,287.66104,287.21875,4.883008,28.429705600000023,71.997855,287.39383,286.8125,4.7808385,28.679705600000023,71.997855,287.16867,286.78125,4.6731167,28.929705600000023,71.997855,287.0541,286.71875,4.6233974,29.179705600000023,71.997855,287.41013,286.9375,4.7831826,28.679705600000023,72.247855,287.16214,286.78125,4.655369,28.929705600000023,72.247855,286.9942,286.75,4.583724,29.179705600000023,72.247855,286.9444,286.625,4.5102654,29.429705600000023,72.247855
0,201601,dera ghazi khan,286.53864,285.96875,3.9427981,29.929705600000023,70.247855,288.38272,287.8125,4.406118,29.679705600000023,70.497855,287.4585,286.875,4.287076,29.929705600000023,70.497855,286.9742,286.3125,4.0695915,30.179705600000023,70.497855,287.5766,286.9375,4.604605,29.929705600000023,70.747855,287.3147,286.625,4.3843474,30.179705600000023,70.747855,287.67725,287.0625,4.3956275,30.429705600000023,70.747855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201601,taunsa,286.89658,286.4375,3.8479044,30.929705600000023,70.497855,287.0661,286.5,3.6366107,31.179705600000023,70.497855,287.87778,287.25,4.333891,30.679705600000023,70.747855,287.5472,286.9375,4.4368653,30.929705600000023,70.747855,287.3796,286.75,4.236312,31.179705600000023,70.747855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201601,jahanian,287.3796,286.75,4.236312,31.179705600000023,70.747855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201601,kabirwala,287.3796,286.75,4.236312,31.179705600000023,70.747855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201601,khanewal,286.87424,286.09375,4.414059,30.179705600000023,71.997855,286.8787,286.25,4.43151,30.429705600000023,71.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201601,chaubara,286.7243,286.25,4.504574,30.679705600000023,71.497855,286.43423,285.875,4.4836726,30.929705600000023,71.497855,286.35483,285.78125,4.4772005,31.179705600000023,71.497855,286.5047,286.0625,4.4357805,30.929705600000023,71.747855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201601,karor lal esan,286.4522,285.71875,4.5466723,31.179705600000023,70.997855,286.30167,285.71875,4.541143,31.179705600000023,71.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201601,layyah,286.53586,285.8125,4.5935316,30.679705600000023,70.997855,286.51596,285.875,4.588322,30.929705600000023,70.997855,286.38928,285.8125,4.5384974,30.929705600000023,71.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201601,dunya pur,286.38928,285.8125,4.5384974,30.929705600000023,71.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201601,karorpacca,287.2522,286.4375,4.5578423,29.679705600000023,71.747855,287.09753,286.5,4.5112877,29.679705600000023,71.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201601,lodhran,287.40918,286.4375,4.64049,29.429705600000023,71.497855,287.37006,286.625,4.580604,29.679705600000023,71.497855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201601,jalalpur pirwala,287.37006,286.625,4.580604,29.679705600000023,71.497855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201601,multan city,287.37006,286.625,4.580604,29.679705600000023,71.497855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201601,multan saddar,287.31494,286.625,4.544789,29.929705600000023,71.497855,287.0026,286.5,4.4562335,30.429705600000023,71.497855,287.10434,286.34375,4.437143,30.179705600000023,71.747855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201601,shujabad,287.10434,286.34375,4.437143,30.179705600000023,71.747855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
