,date,teh,Point0_average,Point0_median,Point0_std,Point0_lat,Point0_lon,Point1_average,Point1_median,Point1_std,Point1_lat,Point1_lon,Point2_average,Point2_median,Point2_std,Point2_lat,Point2_lon,Point3_average,Point3_median,Point3_std,Point3_lat,Point3_lon,Point4_average,Point4_median,Point4_std,Point4_lat,Point4_lon,Point5_average,Point5_median,Point5_std,Point5_lat,Point5_lon,Point6_average,Point6_median,Point6_std,Point6_lat,Point6_lon,Point7_average,Point7_median,Point7_std,Point7_lat,Point7_lon,Point8_average,Point8_median,Point8_std,Point8_lat,Point8_lon,Point9_average,Point9_median,Point9_std,Point9_lat,Point9_lon,Point10_average,Point10_median,Point10_std,Point10_lat,Point10_lon,Point11_average,Point11_median,Point11_std,Point11_lat,Point11_lon,Point12_average,Point12_median,Point12_std,Point12_lat,Point12_lon,Point13_average,Point13_median,Point13_std,Point13_lat,Point13_lon,Point14_average,Point14_median,Point14_std,Point14_lat,Point14_lon,Point15_average,Point15_median,Point15_std,Point15_lat,Point15_lon,Point16_average,Point16_median,Point16_std,Point16_lat,Point16_lon,Point17_average,Point17_median,Point17_std,Point17_lat,Point17_lon,Point18_average,Point18_median,Point18_std,Point18_lat,Point18_lon,Point19_average,Point19_median,Point19_std,Point19_lat,Point19_lon,Point20_average,Point20_median,Point20_std,Point20_lat,Point20_lon,Point21_average,Point21_median,Point21_std,Point21_lat,Point21_lon,Point22_average,Point22_median,Point22_std,Point22_lat,Point22_lon,Point23_average,Point23_median,Point23_std,Point23_lat,Point23_lon,Point24_average,Point24_median,Point24_std,Point24_lat,Point24_lon,Point25_average,Point25_median,Point25_std,Point25_lat,Point25_lon,Point26_average,Point26_median,Point26_std,Point26_lat,Point26_lon
0,201301,bahawalnagar,285.7589,285.125,5.360147,29.929705600000023,72.997855,285.8093,285.09375,5.4410686,29.679705600000023,73.247855,285.65793,285.0,5.358471,29.929705600000023,73.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201301,chishtian,286.03528,285.1875,5.3406615,29.429705600000023,72.747855,285.88742,285.1875,5.2869687,29.679705600000023,72.747855,285.9097,285.15625,5.3297205,29.679705600000023,72.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201301,fort abbas,286.8278,286.0625,5.733101,28.929705600000023,72.497855,286.56082,285.8125,5.6141562,29.179705600000023,72.497855,286.27142,285.40625,5.4428263,29.179705600000023,72.747855,286.15744,285.1875,5.4332604,29.179705600000023,72.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201301,haroonabad,286.15744,285.1875,5.4332604,29.179705600000023,72.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201301,minchinabad,285.16315,284.4375,5.231508,30.179705600000023,73.497855,284.9937,284.125,5.2591004,30.179705600000023,73.747855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201301,ahmadpur east,287.38608,286.75,5.2616644,29.179705600000023,70.997855,286.74353,286.1875,5.3364983,29.179705600000023,71.247855,286.81778,286.25,5.293735,29.429705600000023,71.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201301,bahawalpur,286.81778,286.25,5.293735,29.429705600000023,71.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201301,hasilpur,286.16525,285.3125,5.3692565,29.429705600000023,72.497855,285.90945,285.1875,5.260075,29.679705600000023,72.497855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201301,khairpur tamewali,286.36963,285.6875,5.406292,29.429705600000023,71.997855,286.05957,285.4375,5.313383,29.679705600000023,72.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201301,yazman,288.16525,287.8125,5.7663765,28.179705600000023,70.997855,287.63205,287.1875,5.716277,28.429705600000023,70.997855,287.0012,286.53125,5.5776806,28.679705600000023,70.997855,288.1502,287.8125,5.858523,27.929705600000023,71.247855,288.02185,287.625,5.812178,28.179705600000023,71.247855,287.76276,287.28125,5.774408,28.429705600000023,71.247855,287.14508,286.625,5.6614957,28.679705600000023,71.247855,286.67667,286.25,5.4499755,28.929705600000023,71.247855,288.1435,287.84375,5.7772794,27.929705600000023,71.497855,287.85214,287.53125,5.8674946,28.179705600000023,71.497855,287.66708,287.34375,5.8741684,28.429705600000023,71.497855,287.2999,286.75,5.730603,28.679705600000023,71.497855,286.957,286.4375,5.497414,28.929705600000023,71.497855,287.98328,287.6875,5.822943,27.929705600000023,71.747855,287.68457,287.40625,5.879771,28.179705600000023,71.747855,287.5175,287.0625,5.870743,28.429705600000023,71.747855,287.27563,286.6875,5.750135,28.679705600000023,71.747855,286.93802,286.375,5.5734344,28.929705600000023,71.747855,286.7,286.0,5.4733195,29.179705600000023,71.747855,287.35626,286.9375,5.852997,28.429705600000023,71.997855,287.14642,286.5625,5.747399,28.679705600000023,71.997855,286.95514,286.40625,5.702049,28.929705600000023,71.997855,286.71927,286.03125,5.5799785,29.179705600000023,71.997855,287.06888,286.5,5.759469,28.679705600000023,72.247855,286.95682,286.3125,5.735823,28.929705600000023,72.247855,286.72128,285.9375,5.646952,29.179705600000023,72.247855,286.34222,285.4375,5.433356,29.429705600000023,72.247855
