,date,teh,Point0_average,Point0_median,Point0_std,Point0_lat,Point0_lon,Point1_average,Point1_median,Point1_std,Point1_lat,Point1_lon,Point2_average,Point2_median,Point2_std,Point2_lat,Point2_lon,Point3_average,Point3_median,Point3_std,Point3_lat,Point3_lon,Point4_average,Point4_median,Point4_std,Point4_lat,Point4_lon,Point5_average,Point5_median,Point5_std,Point5_lat,Point5_lon,Point6_average,Point6_median,Point6_std,Point6_lat,Point6_lon,Point7_average,Point7_median,Point7_std,Point7_lat,Point7_lon,Point8_average,Point8_median,Point8_std,Point8_lat,Point8_lon,Point9_average,Point9_median,Point9_std,Point9_lat,Point9_lon,Point10_average,Point10_median,Point10_std,Point10_lat,Point10_lon,Point11_average,Point11_median,Point11_std,Point11_lat,Point11_lon,Point12_average,Point12_median,Point12_std,Point12_lat,Point12_lon,Point13_average,Point13_median,Point13_std,Point13_lat,Point13_lon,Point14_average,Point14_median,Point14_std,Point14_lat,Point14_lon,Point15_average,Point15_median,Point15_std,Point15_lat,Point15_lon,Point16_average,Point16_median,Point16_std,Point16_lat,Point16_lon,Point17_average,Point17_median,Point17_std,Point17_lat,Point17_lon,Point18_average,Point18_median,Point18_std,Point18_lat,Point18_lon,Point19_average,Point19_median,Point19_std,Point19_lat,Point19_lon,Point20_average,Point20_median,Point20_std,Point20_lat,Point20_lon,Point21_average,Point21_median,Point21_std,Point21_lat,Point21_lon,Point22_average,Point22_median,Point22_std,Point22_lat,Point22_lon,Point23_average,Point23_median,Point23_std,Point23_lat,Point23_lon,Point24_average,Point24_median,Point24_std,Point24_lat,Point24_lon,Point25_average,Point25_median,Point25_std,Point25_lat,Point25_lon,Point26_average,Point26_median,Point26_std,Point26_lat,Point26_lon
0,201801,bahawalnagar,286.77866,285.90625,5.125066,29.929705600000023,72.997855,286.7289,285.84375,5.1974297,29.679705600000023,73.247855,286.7017,285.84375,5.1114225,29.929705600000023,73.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201801,chishtian,287.07645,286.4375,5.259329,29.429705600000023,72.747855,286.89642,286.125,5.1945486,29.679705600000023,72.747855,286.88196,286.0,5.15681,29.679705600000023,72.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201801,fort abbas,288.06744,287.625,5.600127,28.929705600000023,72.497855,287.6645,287.125,5.44842,29.179705600000023,72.497855,287.35223,286.59375,5.3716087,29.179705600000023,72.747855,287.2722,286.4375,5.391578,29.179705600000023,72.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201801,haroonabad,287.2722,286.4375,5.391578,29.179705600000023,72.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201801,minchinabad,286.50436,285.5625,5.0314837,30.179705600000023,73.497855,286.45975,285.6875,5.01203,30.179705600000023,73.747855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201801,ahmadpur east,287.4605,286.25,5.2122564,29.179705600000023,70.997855,287.04108,286.0,5.307945,29.179705600000023,71.247855,287.09628,285.875,5.290384,29.429705600000023,71.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201801,bahawalpur,287.09628,285.875,5.290384,29.429705600000023,71.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201801,hasilpur,287.17264,286.78125,5.274727,29.429705600000023,72.497855,286.8613,286.15625,5.18146,29.679705600000023,72.497855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201801,khairpur tamewali,287.11963,286.3125,5.263851,29.429705600000023,71.997855,286.9665,285.96875,5.2242193,29.679705600000023,72.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201801,yazman,288.5431,288.09375,5.6263666,28.179705600000023,70.997855,287.88028,287.5625,5.6623325,28.429705600000023,70.997855,287.31552,286.75,5.534521,28.679705600000023,70.997855,288.5357,287.875,5.7362633,27.929705600000023,71.247855,288.65607,288.125,5.6710367,28.179705600000023,71.247855,288.3036,287.96875,5.6378956,28.429705600000023,71.247855,287.63416,287.3125,5.4559493,28.679705600000023,71.247855,287.18616,286.46875,5.3486757,28.929705600000023,71.247855,288.73026,288.21875,5.765524,27.929705600000023,71.497855,288.6376,287.9375,5.7844667,28.179705600000023,71.497855,288.5441,288.0,5.699725,28.429705600000023,71.497855,288.0705,287.6875,5.531991,28.679705600000023,71.497855,287.59988,287.03125,5.3305073,28.929705600000023,71.497855,288.76175,288.0625,5.8713417,27.929705600000023,71.747855,288.55014,287.8125,5.840329,28.179705600000023,71.747855,288.5699,287.96875,5.721791,28.429705600000023,71.747855,288.18582,287.8125,5.565226,28.679705600000023,71.747855,287.66977,287.0625,5.3730845,28.929705600000023,71.747855,287.345,286.71875,5.296483,29.179705600000023,71.747855,288.53403,287.9375,5.7317595,28.429705600000023,71.997855,288.21127,287.8125,5.5897527,28.679705600000023,71.997855,287.80402,287.46875,5.472251,28.929705600000023,71.997855,287.47815,287.0625,5.365066,29.179705600000023,71.997855,288.34576,287.84375,5.632646,28.679705600000023,72.247855,288.0211,287.6875,5.5450077,28.929705600000023,72.247855,287.70615,287.4375,5.463452,29.179705600000023,72.247855,287.30814,286.6875,5.319227,29.429705600000023,72.247855
