,date,teh,Point0_average,Point0_median,Point0_std,Point0_lat,Point0_lon,Point1_average,Point1_median,Point1_std,Point1_lat,Point1_lon,Point2_average,Point2_median,Point2_std,Point2_lat,Point2_lon,Point3_average,Point3_median,Point3_std,Point3_lat,Point3_lon,Point4_average,Point4_median,Point4_std,Point4_lat,Point4_lon,Point5_average,Point5_median,Point5_std,Point5_lat,Point5_lon,Point6_average,Point6_median,Point6_std,Point6_lat,Point6_lon,Point7_average,Point7_median,Point7_std,Point7_lat,Point7_lon,Point8_average,Point8_median,Point8_std,Point8_lat,Point8_lon,Point9_average,Point9_median,Point9_std,Point9_lat,Point9_lon,Point10_average,Point10_median,Point10_std,Point10_lat,Point10_lon,Point11_average,Point11_median,Point11_std,Point11_lat,Point11_lon,Point12_average,Point12_median,Point12_std,Point12_lat,Point12_lon,Point13_average,Point13_median,Point13_std,Point13_lat,Point13_lon,Point14_average,Point14_median,Point14_std,Point14_lat,Point14_lon,Point15_average,Point15_median,Point15_std,Point15_lat,Point15_lon,Point16_average,Point16_median,Point16_std,Point16_lat,Point16_lon,Point17_average,Point17_median,Point17_std,Point17_lat,Point17_lon,Point18_average,Point18_median,Point18_std,Point18_lat,Point18_lon,Point19_average,Point19_median,Point19_std,Point19_lat,Point19_lon,Point20_average,Point20_median,Point20_std,Point20_lat,Point20_lon,Point21_average,Point21_median,Point21_std,Point21_lat,Point21_lon,Point22_average,Point22_median,Point22_std,Point22_lat,Point22_lon,Point23_average,Point23_median,Point23_std,Point23_lat,Point23_lon,Point24_average,Point24_median,Point24_std,Point24_lat,Point24_lon,Point25_average,Point25_median,Point25_std,Point25_lat,Point25_lon,Point26_average,Point26_median,Point26_std,Point26_lat,Point26_lon
0,202201,bahawalnagar,285.8629,285.4375,3.6286685,29.929705600000023,72.997855,285.7683,285.4375,3.685227,29.679705600000023,73.247855,285.82166,285.40625,3.5165317,29.929705600000023,73.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,chishtian,285.86584,285.625,3.9219234,29.429705600000023,72.747855,285.8645,285.625,3.830298,29.679705600000023,72.747855,285.87415,285.5625,3.7113373,29.679705600000023,72.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,fort abbas,286.44205,286.1875,4.6913815,28.929705600000023,72.497855,286.21716,285.9375,4.4301643,29.179705600000023,72.497855,286.02664,285.75,4.027295,29.179705600000023,72.747855,285.95773,285.6875,3.9093513,29.179705600000023,72.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,haroonabad,285.95773,285.6875,3.9093513,29.179705600000023,72.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,minchinabad,285.63675,285.4375,3.3768442,30.179705600000023,73.497855,285.52933,285.3125,3.3488016,30.179705600000023,73.747855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,ahmadpur east,286.82687,286.25,4.2514796,29.179705600000023,70.997855,286.39062,285.75,4.3227253,29.179705600000023,71.247855,286.54117,286.0,4.2321415,29.429705600000023,71.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,bahawalpur,286.54117,286.0,4.2321415,29.429705600000023,71.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,hasilpur,286.0089,285.6875,4.1059074,29.429705600000023,72.497855,285.92087,285.625,3.9208848,29.679705600000023,72.497855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,khairpur tamewali,286.40323,285.9375,4.2444673,29.429705600000023,71.997855,286.1797,285.75,4.0659685,29.679705600000023,72.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,yazman,287.36987,286.96875,4.6935425,28.179705600000023,70.997855,286.98456,286.5,4.6900535,28.429705600000023,70.997855,286.53317,285.9375,4.5220346,28.679705600000023,70.997855,287.3749,286.96875,4.7547035,27.929705600000023,71.247855,287.22675,286.78125,4.7587485,28.179705600000023,71.247855,287.081,286.625,4.741522,28.429705600000023,71.247855,286.7306,286.3125,4.5822926,28.679705600000023,71.247855,286.3796,285.75,4.421157,28.929705600000023,71.247855,287.4364,287.15625,4.790526,27.929705600000023,71.497855,287.17346,286.75,5.019475,28.179705600000023,71.497855,286.92633,286.71875,4.977946,28.429705600000023,71.497855,286.79688,286.4375,4.6637964,28.679705600000023,71.497855,286.6932,286.125,4.4249296,28.929705600000023,71.497855,287.35492,287.09375,4.8467917,27.929705600000023,71.747855,287.09836,286.8125,5.045515,28.179705600000023,71.747855,286.8856,286.6875,5.0011897,28.429705600000023,71.747855,286.78662,286.5,4.6582403,28.679705600000023,71.747855,286.64197,286.1875,4.400272,28.929705600000023,71.747855,286.58148,286.0625,4.340845,29.179705600000023,71.747855,286.87146,286.6875,4.962481,28.429705600000023,71.997855,286.75058,286.5,4.6906567,28.679705600000023,71.997855,286.54587,286.21875,4.5398216,28.929705600000023,71.997855,286.48782,286.0625,4.450185,29.179705600000023,71.997855,286.70673,286.5,4.8514676,28.679705600000023,72.247855,286.5168,286.1875,4.7431984,28.929705600000023,72.247855,286.39676,286.0625,4.572485,29.179705600000023,72.247855,286.29132,285.9375,4.2969413,29.429705600000023,72.247855
0,202201,dera ghazi khan,285.64188,284.9375,3.6527853,29.929705600000023,70.247855,287.39096,286.5625,3.9491577,29.679705600000023,70.497855,286.5888,285.875,3.8490388,29.929705600000023,70.497855,286.07846,285.25,3.640718,30.179705600000023,70.497855,286.7743,286.1875,4.123148,29.929705600000023,70.747855,286.5026,285.6875,3.9249563,30.179705600000023,70.747855,286.82166,285.90625,3.8692203,30.429705600000023,70.747855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,taunsa,286.32947,285.625,3.4611564,30.929705600000023,70.497855,286.5993,286.0,3.2877321,31.179705600000023,70.497855,287.2268,286.625,3.8175545,30.679705600000023,70.747855,286.83267,286.0625,3.7845023,30.929705600000023,70.747855,286.9469,286.4375,3.5993218,31.179705600000023,70.747855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,jahanian,286.9469,286.4375,3.5993218,31.179705600000023,70.747855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,kabirwala,286.9469,286.4375,3.5993218,31.179705600000023,70.747855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,khanewal,286.0056,285.5625,3.9163291,30.179705600000023,71.997855,285.97076,285.53125,3.8191686,30.429705600000023,71.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,chaubara,286.3047,286.0625,4.0441904,30.679705600000023,71.497855,286.1703,286.0,4.1177096,30.929705600000023,71.497855,286.12854,285.84375,4.027424,31.179705600000023,71.497855,286.06268,285.78125,3.8167543,30.929705600000023,71.747855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,karor lal esan,286.0484,285.5,3.825636,31.179705600000023,70.997855,285.98557,285.6875,4.047274,31.179705600000023,71.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,layyah,286.0042,285.40625,4.0625625,30.679705600000023,70.997855,285.89255,285.1875,3.9174545,30.929705600000023,70.997855,286.03418,285.75,4.146242,30.929705600000023,71.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,dunya pur,286.03418,285.75,4.146242,30.929705600000023,71.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,karorpacca,286.43942,285.9375,4.1388025,29.679705600000023,71.747855,286.3738,286.0,4.1268578,29.679705600000023,71.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,lodhran,286.44305,285.8125,4.232161,29.429705600000023,71.497855,286.45807,285.875,4.1764975,29.679705600000023,71.497855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,jalalpur pirwala,286.45807,285.875,4.1764975,29.679705600000023,71.497855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,multan city,286.45807,285.875,4.1764975,29.679705600000023,71.497855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,multan saddar,286.3702,285.78125,4.111825,29.929705600000023,71.497855,286.3182,286.0625,3.9192631,30.429705600000023,71.497855,286.16187,285.6875,3.917969,30.179705600000023,71.747855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,shujabad,286.16187,285.6875,3.917969,30.179705600000023,71.747855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,alipur,286.97144,286.375,4.1717362,29.179705600000023,70.747855,286.94934,286.375,4.107974,29.429705600000023,70.747855,286.79453,286.25,4.162617,29.429705600000023,70.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,jatoi,286.9396,286.3125,4.1029353,29.679705600000023,70.747855,286.75488,286.25,4.134197,29.679705600000023,70.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,kot addu,286.14383,285.625,4.144022,30.179705600000023,70.997855,285.99405,285.5625,4.108911,30.429705600000023,70.997855,286.20773,285.875,4.077335,30.429705600000023,71.247855,286.10468,285.875,4.2384133,30.679705600000023,71.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,muzaffargarh,286.55722,286.0,4.1677494,29.929705600000023,70.997855,286.58694,286.125,4.119515,30.179705600000023,71.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,khan pur,287.27032,287.0,4.6385274,28.179705600000023,70.497855,287.1308,286.375,4.3961234,28.679705600000023,70.497855,287.10376,286.40625,4.2862196,28.929705600000023,70.497855,286.91583,286.4375,4.639505,28.429705600000023,70.747855,286.85324,286.125,4.442786,28.679705600000023,70.747855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,liaqat pur,287.4469,287.03125,4.619635,27.929705600000023,70.747855,287.4181,287.03125,4.6567636,28.179705600000023,70.747855,286.94684,286.34375,4.302581,28.929705600000023,70.747855,287.39557,287.0625,4.689462,27.929705600000023,70.997855,286.71582,286.03125,4.3578234,28.929705600000023,70.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,rahim yar khan,287.59528,287.09375,4.5529246,27.929705600000023,70.247855,287.075,286.59375,4.6522527,28.179705600000023,70.247855,287.3477,286.625,4.5367255,28.429705600000023,70.247855,287.48386,286.71875,4.3622885,28.679705600000023,70.247855,287.0651,286.40625,4.595237,28.429705600000023,70.497855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,sadiqabad,287.3205,286.625,4.534899,28.179705600000023,69.997855,287.55948,286.75,4.4070926,28.429705600000023,69.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,jampur,287.4261,286.65625,3.977537,29.429705600000023,70.247855,286.70087,286.0625,3.7748413,29.679705600000023,70.247855,287.40222,286.65625,3.949466,29.429705600000023,70.497855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,rajanpur,286.9652,286.40625,4.2812266,29.179705600000023,69.997855,287.10098,286.3125,4.1974635,29.179705600000023,70.247855,287.12753,286.59375,4.1807895,29.179705600000023,70.497855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,rojhan,287.75815,287.15625,4.2703757,28.429705600000023,69.747855,287.71448,287.125,4.207515,28.679705600000023,69.747855,287.92844,287.28125,4.34199,28.679705600000023,69.997855,287.56644,286.96875,4.311028,28.929705600000023,69.997855,287.3687,286.78125,4.2995396,28.929705600000023,70.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,burewala,285.8424,285.4375,3.7625418,29.929705600000023,72.747855,285.74185,285.34375,3.705459,30.179705600000023,72.747855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,mailsi,286.25092,285.8125,4.017657,29.929705600000023,71.997855,286.09088,285.625,3.9560711,29.929705600000023,72.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,vehari,285.94522,285.5625,3.848112,29.929705600000023,72.497855,285.75934,285.25,3.8083916,30.179705600000023,72.497855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202201,mian channu,285.8719,285.40625,3.906979,30.179705600000023,72.247855,285.79495,285.375,3.786143,30.429705600000023,72.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202202,bahawalnagar,289.7357,289.15625,4.8623986,29.929705600000023,72.997855,289.74582,289.0,4.8661337,29.679705600000023,73.247855,289.62045,289.0,4.809497,29.929705600000023,73.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202202,chishtian,290.1291,289.4375,5.0401955,29.429705600000023,72.747855,289.8431,289.1875,4.8890176,29.679705600000023,72.747855,289.84106,289.0625,4.8534255,29.679705600000023,72.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202202,fort abbas,292.0745,291.9375,5.9618325,28.929705600000023,72.497855,291.4241,291.09375,5.7474017,29.179705600000023,72.497855,290.70776,290.0625,5.288699,29.179705600000023,72.747855,290.44595,289.5625,5.126773,29.179705600000023,72.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202202,haroonabad,290.44595,289.5625,5.126773,29.179705600000023,72.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202202,minchinabad,289.34924,288.875,4.7576537,30.179705600000023,73.497855,289.16025,288.5,4.7744727,30.179705600000023,73.747855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202202,ahmadpur east,290.75763,289.96875,5.0064507,29.179705600000023,70.997855,290.3774,289.5625,4.970719,29.179705600000023,71.247855,290.33557,289.46875,4.9719524,29.429705600000023,71.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202202,bahawalpur,290.33557,289.46875,4.9719524,29.429705600000023,71.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202202,hasilpur,290.54156,289.96875,5.302074,29.429705600000023,72.497855,289.90598,289.28125,4.98829,29.679705600000023,72.497855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,202202,khairpur tamewali,290.678,290.1875,5.104922,29.429705600000023,71.997855,290.29623,289.65625,5.0696034,29.679705600000023,72.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
