,date,teh,Point0_average,Point0_median,Point0_std,Point0_lat,Point0_lon,Point1_average,Point1_median,Point1_std,Point1_lat,Point1_lon,Point2_average,Point2_median,Point2_std,Point2_lat,Point2_lon,Point3_average,Point3_median,Point3_std,Point3_lat,Point3_lon,Point4_average,Point4_median,Point4_std,Point4_lat,Point4_lon,Point5_average,Point5_median,Point5_std,Point5_lat,Point5_lon,Point6_average,Point6_median,Point6_std,Point6_lat,Point6_lon,Point7_average,Point7_median,Point7_std,Point7_lat,Point7_lon,Point8_average,Point8_median,Point8_std,Point8_lat,Point8_lon,Point9_average,Point9_median,Point9_std,Point9_lat,Point9_lon,Point10_average,Point10_median,Point10_std,Point10_lat,Point10_lon,Point11_average,Point11_median,Point11_std,Point11_lat,Point11_lon,Point12_average,Point12_median,Point12_std,Point12_lat,Point12_lon,Point13_average,Point13_median,Point13_std,Point13_lat,Point13_lon,Point14_average,Point14_median,Point14_std,Point14_lat,Point14_lon,Point15_average,Point15_median,Point15_std,Point15_lat,Point15_lon,Point16_average,Point16_median,Point16_std,Point16_lat,Point16_lon,Point17_average,Point17_median,Point17_std,Point17_lat,Point17_lon,Point18_average,Point18_median,Point18_std,Point18_lat,Point18_lon,Point19_average,Point19_median,Point19_std,Point19_lat,Point19_lon,Point20_average,Point20_median,Point20_std,Point20_lat,Point20_lon,Point21_average,Point21_median,Point21_std,Point21_lat,Point21_lon,Point22_average,Point22_median,Point22_std,Point22_lat,Point22_lon,Point23_average,Point23_median,Point23_std,Point23_lat,Point23_lon,Point24_average,Point24_median,Point24_std,Point24_lat,Point24_lon,Point25_average,Point25_median,Point25_std,Point25_lat,Point25_lon,Point26_average,Point26_median,Point26_std,Point26_lat,Point26_lon
0,201101,bahawalnagar,284.9685,284.09375,5.0229774,29.929705600000023,72.997855,284.94717,284.0,5.229244,29.679705600000023,73.247855,284.99362,284.125,5.000856,29.929705600000023,73.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201101,chishtian,284.73758,283.8125,5.193405,29.429705600000023,72.747855,284.7328,283.8125,5.0764,29.679705600000023,72.747855,284.9049,284.0,5.106596,29.679705600000023,72.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201101,fort abbas,285.4594,284.5,5.6508317,28.929705600000023,72.497855,285.20346,284.1875,5.5280714,29.179705600000023,72.497855,284.91364,283.96875,5.3419347,29.179705600000023,72.747855,284.86182,283.9375,5.3292093,29.179705600000023,72.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201101,haroonabad,284.86182,283.9375,5.3292093,29.179705600000023,72.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201101,minchinabad,284.88162,283.875,4.8459034,30.179705600000023,73.497855,284.79755,283.875,4.865516,30.179705600000023,73.747855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201101,ahmadpur east,285.6944,284.8125,5.075796,29.179705600000023,70.997855,285.14752,284.15625,5.161885,29.179705600000023,71.247855,285.28915,284.4375,5.0641074,29.429705600000023,71.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201101,bahawalpur,285.28915,284.4375,5.0641074,29.429705600000023,71.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201101,hasilpur,284.79874,283.8125,5.243846,29.429705600000023,72.497855,284.6182,283.65625,5.042109,29.679705600000023,72.497855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201101,khairpur tamewali,284.89758,283.875,5.1355076,29.429705600000023,71.997855,284.82242,283.75,5.0734196,29.679705600000023,72.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,201101,yazman,286.45312,285.75,5.8086133,28.179705600000023,70.997855,285.9028,285.21875,5.7548065,28.429705600000023,70.997855,285.3299,284.59375,5.5471964,28.679705600000023,70.997855,286.53906,285.875,5.9680834,27.929705600000023,71.247855,286.33,285.625,5.8743076,28.179705600000023,71.247855,286.1377,285.4375,5.7675176,28.429705600000023,71.247855,285.6355,284.875,5.5189734,28.679705600000023,71.247855,285.1808,284.3125,5.28429,28.929705600000023,71.247855,286.6408,286.21875,5.948505,27.929705600000023,71.497855,286.16162,285.4375,6.055589,28.179705600000023,71.497855,285.9816,285.1875,5.8776073,28.429705600000023,71.497855,285.64316,284.84375,5.5544252,28.679705600000023,71.497855,285.3818,284.53125,5.231955,28.929705600000023,71.497855,286.5337,286.0,6.0195203,27.929705600000023,71.747855,286.04428,285.46875,6.108739,28.179705600000023,71.747855,285.88483,285.125,5.9469233,28.429705600000023,71.747855,285.61945,284.71875,5.6730566,28.679705600000023,71.747855,285.31073,284.375,5.336736,28.929705600000023,71.747855,285.10037,284.25,5.1567073,29.179705600000023,71.747855,285.83652,285.125,5.9581075,28.429705600000023,71.997855,285.5977,284.65625,5.732985,28.679705600000023,71.997855,285.31543,284.25,5.527084,28.929705600000023,71.997855,285.10568,284.125,5.2976165,29.179705600000023,71.997855,285.63458,284.625,5.750768,28.679705600000023,72.247855,285.3993,284.21875,5.61252,28.929705600000023,72.247855,285.2248,284.1875,5.4971237,29.179705600000023,72.247855,284.97867,283.90625,5.2591014,29.429705600000023,72.247855
0,201101,dera ghazi khan,285.06384,284.6875,4.129544,29.929705600000023,70.247855,286.0556,285.5,4.6303043,29.679705600000023,70.497855,285.39963,284.84375,4.4725914,29.929705600000023,70.497855,285.06226,284.5,4.228777,30.179705600000023,70.497855,285.2604,284.34375,4.7824345,29.929705600000023,70.747855,285.15903,284.4375,4.5470805,30.179705600000023,70.747855,285.61594,284.875,4.5198784,30.429705600000023,70.747855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
